FeatureSize,Run,Model,Accuracy,Precision,Recall,F1,AUC,NumSelectedFeatures
2,1,LogisticRegression,0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9805996472663139,2
2,1,RandomForest,0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9964726631393298,2
2,1,SVM,0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9911816578483246,2
2,1,KNN,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,1.0,2
2,1,GradientBoosting,0.9791666666666666,0.9545454545454546,1.0,0.9767441860465116,1.0,2
2,2,LogisticRegression,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9841269841269841,2
2,2,RandomForest,0.9375,0.95,0.9047619047619048,0.926829268292683,0.9779541446208113,2
2,2,SVM,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9647266313932981,2
2,2,KNN,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9488536155202821,2
2,2,GradientBoosting,0.9375,0.95,0.9047619047619048,0.926829268292683,0.9779541446208113,2
2,3,LogisticRegression,0.9166666666666666,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9717813051146384,2
2,3,RandomForest,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9964726631393299,2
2,3,SVM,0.9375,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9929453262786596,2
2,3,KNN,0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9717813051146384,2
2,3,GradientBoosting,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9929453262786596,2
2,4,LogisticRegression,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9805996472663139,2
2,4,RandomForest,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9894179894179895,2
2,4,SVM,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9664902998236331,2
2,4,KNN,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9488536155202821,2
2,4,GradientBoosting,0.9375,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9885361552028218,2
2,5,LogisticRegression,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9876543209876543,2
2,5,RandomForest,0.9166666666666666,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.982363315696649,2
2,5,SVM,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9682539682539683,2
2,5,KNN,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9435626102292769,2
2,5,GradientBoosting,0.9166666666666666,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9805996472663139,2
2,6,LogisticRegression,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9788359788359788,2
2,6,RandomForest,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9312169312169312,2
2,6,SVM,0.9166666666666666,1.0,0.8095238095238095,0.8947368421052632,0.9365079365079365,2
2,6,KNN,0.8958333333333334,1.0,0.7619047619047619,0.8648648648648649,0.9365079365079365,2
2,6,GradientBoosting,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9444444444444444,2
2,7,LogisticRegression,0.9166666666666666,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9841269841269842,2
2,7,RandomForest,0.9375,0.95,0.9047619047619048,0.926829268292683,0.9929453262786596,2
2,7,SVM,0.9375,0.95,0.9047619047619048,0.926829268292683,0.9841269841269842,2
2,7,KNN,0.9375,0.95,0.9047619047619048,0.926829268292683,0.992063492063492,2
2,7,GradientBoosting,0.9375,0.95,0.9047619047619048,0.926829268292683,0.9911816578483246,2
2,8,LogisticRegression,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.961199294532628,2
2,8,RandomForest,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9876543209876543,2
2,8,SVM,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9647266313932981,2
2,8,KNN,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.947089947089947,2
