FeatureSize,Run,Model,Dataset,Accuracy,Precision,Recall,F1,AUC,NumSelectedFeatures
2,1,LogisticRegression,Train (TCGA),0.9464285714285714,0.9772727272727273,0.8958333333333334,0.9347826086956522,0.9905598958333334,2
2,1,LogisticRegression,Test (TCGA),0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9805996472663139,2
2,1,LogisticRegression,CPTAC,,,,,,2
2,1,RandomForest,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,1,RandomForest,Test (TCGA),0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9964726631393298,2
2,1,RandomForest,CPTAC,,,,,,2
2,1,SVM,Train (TCGA),0.9732142857142857,1.0,0.9375,0.967741935483871,0.9879557291666666,2
2,1,SVM,Test (TCGA),0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9911816578483246,2
2,1,SVM,CPTAC,,,,,,2
2,1,KNN,Train (TCGA),0.9732142857142857,1.0,0.9375,0.967741935483871,0.99609375,2
2,1,KNN,Test (TCGA),0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,1.0,2
2,1,KNN,CPTAC,,,,,,2
2,1,GradientBoosting,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,1,GradientBoosting,Test (TCGA),0.9791666666666666,0.9545454545454546,1.0,0.9767441860465116,1.0,2
2,1,GradientBoosting,CPTAC,,,,,,2
2,2,LogisticRegression,Train (TCGA),0.9553571428571429,0.9777777777777777,0.9166666666666666,0.946236559139785,0.9886067708333333,2
2,2,LogisticRegression,Test (TCGA),0.9583333333333334,1.0,0.9047619047619048,0.95,0.9841269841269841,2
2,2,LogisticRegression,CPTAC,,,,,,2
2,2,RandomForest,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,2,RandomForest,Test (TCGA),0.9375,0.95,0.9047619047619048,0.926829268292683,0.9779541446208113,2
2,2,RandomForest,CPTAC,,,,,,2
2,2,SVM,Train (TCGA),0.9821428571428571,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9973958333333334,2
2,2,SVM,Test (TCGA),0.9583333333333334,1.0,0.9047619047619048,0.95,0.9647266313932981,2
2,2,SVM,CPTAC,,,,,,2
2,2,KNN,Train (TCGA),0.9642857142857143,1.0,0.9166666666666666,0.9565217391304348,0.9973958333333334,2
2,2,KNN,Test (TCGA),0.9583333333333334,1.0,0.9047619047619048,0.95,0.9488536155202821,2
2,2,KNN,CPTAC,,,,,,2
2,2,GradientBoosting,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,2,GradientBoosting,Test (TCGA),0.9375,0.95,0.9047619047619048,0.926829268292683,0.9779541446208113,2
2,2,GradientBoosting,CPTAC,,,,,,2
2,3,LogisticRegression,Train (TCGA),0.9642857142857143,0.9782608695652174,0.9375,0.9574468085106383,0.9954427083333333,2
2,3,LogisticRegression,Test (TCGA),0.9166666666666666,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9717813051146384,2
2,3,LogisticRegression,CPTAC,,,,,,2
2,3,RandomForest,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,3,RandomForest,Test (TCGA),0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9964726631393299,2
2,3,RandomForest,CPTAC,,,,,,2
2,3,SVM,Train (TCGA),0.9732142857142857,1.0,0.9375,0.967741935483871,0.9925130208333334,2
2,3,SVM,Test (TCGA),0.9375,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9929453262786596,2
2,3,SVM,CPTAC,,,,,,2
2,3,KNN,Train (TCGA),0.9821428571428571,1.0,0.9583333333333334,0.9787234042553191,0.9977213541666666,2
2,3,KNN,Test (TCGA),0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9717813051146384,2
2,3,KNN,CPTAC,,,,,,2
2,3,GradientBoosting,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,3,GradientBoosting,Test (TCGA),0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9929453262786596,2
2,3,GradientBoosting,CPTAC,,,,,,2
2,4,LogisticRegression,Train (TCGA),0.9642857142857143,1.0,0.9166666666666666,0.9565217391304348,0.994140625,2
2,4,LogisticRegression,Test (TCGA),0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9805996472663139,2
2,4,LogisticRegression,CPTAC,,,,,,2
2,4,RandomForest,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,4,RandomForest,Test (TCGA),0.9583333333333334,1.0,0.9047619047619048,0.95,0.9894179894179895,2
2,4,RandomForest,CPTAC,,,,,,2
2,4,SVM,Train (TCGA),0.9732142857142857,1.0,0.9375,0.967741935483871,0.9921875,2
2,4,SVM,Test (TCGA),0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9664902998236331,2
