method,k,min_p_value,distribution
kmeans,2,0.19506206810903012,"{1: 236, 0: 179}"
kmeans,3,0.32173600643134537,"{1: 218, 2: 150, 0: 47}"
kmeans,4,0.14197283985558104,"{3: 165, 1: 126, 2: 90, 0: 34}"
kmeans,5,0.1639564042676766,"{3: 131, 1: 123, 4: 80, 2: 47, 0: 34}"
kmeans,6,0.034749534935134836,"{2: 93, 3: 91, 5: 87, 1: 68, 0: 48, 4: 28}"
kmeans,7,0.06804623101902416,"{2: 98, 1: 92, 4: 89, 0: 66, 6: 33, 3: 30, 5: 7}"
kmeans,8,0.0014574958617188482,"{5: 91, 6: 69, 2: 68, 0: 53, 3: 47, 1: 41, 7: 23, 4: 23}"
kmeans,9,0.027155934559309213,"{3: 78, 4: 70, 8: 60, 1: 58, 0: 45, 6: 36, 2: 36, 5: 26, 7: 6}"
kmeans,10,0.006363581263016854,"{2: 62, 4: 60, 5: 57, 6: 54, 1: 45, 9: 40, 7: 34, 3: 28, 0: 20, 8: 15}"
agglomerative,2,0.9351687576414648,"{0: 300, 1: 115}"
agglomerative,3,0.10412585281934687,"{0: 262, 1: 115, 2: 38}"
agglomerative,4,0.10412585281934687,"{1: 200, 0: 115, 3: 62, 2: 38}"
agglomerative,5,0.07926324826081425,"{0: 200, 1: 82, 3: 62, 2: 38, 4: 33}"
agglomerative,6,0.036064279237012484,"{0: 154, 1: 82, 3: 62, 5: 46, 2: 38, 4: 33}"
agglomerative,7,0.036064279237012484,"{4: 113, 0: 82, 3: 62, 5: 46, 6: 41, 2: 38, 1: 33}"
agglomerative,8,0.002333222296246891,"{4: 113, 7: 62, 5: 49, 2: 46, 6: 41, 0: 38, 1: 33, 3: 33}"
agglomerative,9,0.002333222296246891,"{1: 113, 7: 62, 5: 49, 2: 46, 6: 41, 0: 33, 3: 33, 4: 23, 8: 15}"
agglomerative,10,0.002333222296246891,"{0: 113, 7: 62, 5: 49, 2: 46, 6: 41, 3: 33, 1: 28, 4: 23, 8: 15, 9: 5}"
gmm,2,0.25154067065128793,"{0: 225, 1: 190}"
gmm,3,0.20116328535093594,"{1: 178, 0: 145, 2: 92}"
gmm,4,0.05327041578221264,"{3: 149, 2: 135, 1: 90, 0: 41}"
gmm,5,0.16346760148332865,"{2: 117, 1: 115, 3: 93, 4: 58, 0: 32}"
gmm,6,0.01683691429418079,"{2: 108, 5: 97, 3: 67, 1: 64, 4: 47, 0: 32}"
gmm,7,0.0035086085786168028,"{3: 82, 0: 79, 2: 68, 6: 57, 1: 54, 5: 45, 4: 30}"
gmm,8,0.015457648112822454,"{5: 83, 0: 67, 7: 64, 4: 53, 1: 49, 2: 39, 6: 34, 3: 26}"
gmm,9,0.006879334079961343,"{1: 74, 3: 73, 6: 55, 5: 49, 2: 49, 7: 41, 4: 39, 8: 25, 0: 10}"
gmm,10,0.00305802130001963,"{0: 59, 7: 58, 6: 52, 2: 50, 8: 44, 3: 42, 4: 34, 9: 34, 5: 22, 1: 20}"
